Determiner	Clothing	Covers
a	scale-mail bikini	torso, arms, legs
a	scarlet waistcoat	torso
	scruffy jeans	legs
a	scruffy T-shirt	torso, arms
a	sequined ball gown	torso, arms, legs
a	sequined cape	back
a	sequined dress	torso, arms, legs
a	sequined jumpsuit	torso, arms, legs
a	sexy catsuit	torso, arms, legs
a	shabby raincoat	torso, arms
a	shabby suit	torso, arms, legs
a	sharp business suit	torso, arms, legs
a	sharp suit	torso, arms, legs
a	sharp white suit	torso, arms, legs
a	shimmery veil	face
a	shiny helmet	head
	shiny leather pants	legs
a	shiny teal suit	torso, arms, legs
	shoes without socks	feet
	short pants	legs, waist
a	short skirt	legs, waist
	shoulder pads	shoulders
	silk tights	legs
	silk trousers	legs
a	silk tweed frock coat	torso, arms
a	silver breastplate over a white velvet dress	torso, arms, legs
a	silver suit and blue suede shoes	torso, arms, legs, feet
a	single black glove	hands
a	siren suit	torso, arms, legs
a	size 0 dress	torso, arms, legs
	size 13 shoes	feet
a	size 16 dress	torso, arms, legs
	skinny jeans	legs
	skull rings	hands
a	sleek fitted black coat	torso, arms
	slip-on sockless loafers	feet
	slippers	feet
a	smoking jacket	torso, arms
a	snakeskin jacket	torso, arms
a	soccer jersey	torso, arms
a	spacesuit	torso, arms, legs, feet
	spats	feet
	spectacles	eyes
	speedos	waist, legs
a	spikey glove	hands
	spiky hair	head
a	sport coat and slacks	torso, arms, legs
a	sports jacket	torso, arms
	squarepants	legs, waist
an	SS uniform	torso, arms, legs
a	staid suit	torso, arms, legs
a	starched blouse	torso, arms
a	starched collar	neck
a	Starfleet tunic	torso, arms
a	Starfleet uniform	torso, arms, legs
the	stars and stripes	torso
a	Stetson	head
	stilettos	feet
a	stove-pipe hat	head
a	straw hat	head
a	stretchy dress	torso, arms, legs
	stretchy purple pants	legs
a	stretchy XXL green velvet gown	torso, arms, legs
a	string tie	neck
a	striped pink linen suit	torso, arms, legs
a	stripey jersey	torso, arms
a	stripey shirt	torso, arms
	stripey trousers	legs
a	suit of armor	torso, arms, legs
a	decorative suit of armor	torso, arms, legs
a	Swastika armband	arms
a	sweat-stained shirt	torso, arms
a	sweat-stained T-shirt	torso, arms
a	sweater	torso, arms
a	sweaty undershirt	chest
a	tail coat	torso, arms
a	tartan kilt	waist, legs
a	tattered hoodie	torso, arms, head
	tennis whites	torso, arms, legs
	thick-framed spectacles	eyes
	thigh-high boots	feet
a	three-piece suit	torso, arms, legs
a	three-piece suit and a bow tie	torso, arms, legs, neck
a	tie with a short-sleeved shirt	torso, arms, neck
a	tie with hawkish stripes	neck
	tight black trousers	legs
